Time	TH	ErrTH	H	Prob[Metastasis--EMT--Invasion]	ErrProb[Metastasis--EMT--Invasion]	Prob[EMT--Invasion--Apoptosis]	ErrProb[EMT--Invasion--Apoptosis]	Prob[EMT--CCA]	ErrProb[EMT--CCA]	Prob[Migration--Metastasis--EMT--Invasion]	ErrProb[Migration--Metastasis--EMT--Invasion]	Prob[EMT]	ErrProb[EMT]	Prob[Invasion]	ErrProb[Invasion]	Prob[Migration--Metastasis--EMT]	ErrProb[Migration--Metastasis--EMT]	Prob[Metastasis--EMT--CCA]	ErrProb[Metastasis--EMT--CCA]	Prob[Migration--EMT--Invasion--Apoptosis]	ErrProb[Migration--EMT--Invasion--Apoptosis]	Prob[Migration--EMT--Invasion--CCA]	ErrProb[Migration--EMT--Invasion--CCA]	Prob[EMT--Invasion--Apoptosis--CCA]	ErrProb[EMT--Invasion--Apoptosis--CCA]	Prob[EMT--Apoptosis]	ErrProb[EMT--Apoptosis]	Prob[Invasion--Apoptosis--CCA]	ErrProb[Invasion--Apoptosis--CCA]	Prob[Migration--EMT--Invasion--Apoptosis--CCA]	ErrProb[Migration--EMT--Invasion--Apoptosis--CCA]	Prob[Migration--EMT--Invasion]	ErrProb[Migration--EMT--Invasion]	Prob[Migration--EMT--Apoptosis--CCA]	ErrProb[Migration--EMT--Apoptosis--CCA]	Prob[EMT--Apoptosis--CCA]	ErrProb[EMT--Apoptosis--CCA]	Prob[Metastasis--EMT--Invasion--CCA]	ErrProb[Metastasis--EMT--Invasion--CCA]	Prob[Metastasis--EMT]	ErrProb[Metastasis--EMT]	Prob[CCA]	ErrProb[CCA]	Prob[Migration--Metastasis--EMT--CCA]	ErrProb[Migration--Metastasis--EMT--CCA]	Prob[Apoptosis--CCA]	ErrProb[Apoptosis--CCA]	Prob[EMT--Invasion--CCA]	ErrProb[EMT--Invasion--CCA]	Prob[Migration--Metastasis--EMT--Invasion--Apoptosis]	ErrProb[Migration--Metastasis--EMT--Invasion--Apoptosis]	Prob[Migration--EMT]	ErrProb[Migration--EMT]	Prob[EMT--Invasion]	ErrProb[EMT--Invasion]	Prob[<nil>]	ErrProb[<nil>]	Prob[Migration--Metastasis--EMT--Invasion--Apoptosis--CCA]	ErrProb[Migration--Metastasis--EMT--Invasion--Apoptosis--CCA]	Prob[Invasion--Apoptosis]	ErrProb[Invasion--Apoptosis]	Prob[Migration--EMT--CCA]	ErrProb[Migration--EMT--CCA]	Prob[Invasion--CCA]	ErrProb[Invasion--CCA]	Prob[Migration--Metastasis--EMT--Invasion--CCA]	ErrProb[Migration--Metastasis--EMT--Invasion--CCA]	Prob[Apoptosis]	ErrProb[Apoptosis]	
0.0000	0.8387	0.0013	0.5404	0	0	0	0	0	0	0	0	0.000005	0.000005	0.000017	0.000008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.043985	0.000744	0	0	0.002946	0.000172	0	0	0	0	0	0	0	0	0.910526	0.001031	0	0	0	0	0	0	0.000015	0.000015	0	0	0.042505	0.000731	
0.1000	0.5972	0.0020	1.0977	0	0	0	0	0	0	0	0	0.000029	0.000021	0.000457	0.000082	0	0	0	0	0	0	0	0	0	0	0	0	0.000007	0.000007	0	0	0	0	0	0	0	0	0	0	0	0	0.112462	0.001324	0	0	0.017076	0.000522	0	0	0	0	0	0	0	0	0.765146	0.001781	0	0	0.000004	0.000004	0	0	0.000049	0.000026	0	0	0.104770	0.001286	
0.2000	0.4418	0.0021	1.4185	0	0	0	0	0.000028	0.000022	0	0	0.000097	0.000040	0.001517	0.000159	0	0	0	0	0	0	0	0	0	0	0	0	0.000052	0.000025	0	0	0	0	0	0	0	0	0	0	0	0	0.159020	0.001570	0	0	0.038699	0.000814	0	0	0	0	0	0	0	0	0.658716	0.002042	0	0	0.000076	0.000032	0	0	0.000093	0.000041	0	0	0.141703	0.001500	
0.3000	0.3428	0.0020	1.6271	0	0	0	0	0.000089	0.000036	0	0	0.000302	0.000070	0.003129	0.000236	0	0	0	0	0	0	0	0	0	0	0	0	0.000063	0.000035	0	0	0	0	0	0	0.000003	0.000003	0	0	0	0	0.191675	0.001707	0	0	0.063614	0.001046	0	0	0	0	0	0	0.000019	0.000012	0.579723	0.002146	0	0	0.000158	0.000053	0	0	0.000279	0.000066	0	0	0.160945	0.001593	
0.4000	0.2775	0.0019	1.7771	0	0	0.000009	0.000009	0.000232	0.000064	0	0	0.000575	0.000100	0.005088	0.000301	0	0	0	0	0	0	0	0	0	0	0.000038	0.000024	0.000102	0.000043	0	0	0	0	0	0	0.000020	0.000020	0	0	0	0	0.214581	0.001789	0	0	0.088585	0.001233	0.000014	0.000010	0	0	0	0	0.000157	0.000049	0.518879	0.002183	0	0	0.000394	0.000082	0	0	0.000746	0.000113	0	0	0.170579	0.001641	
0.5000	0.2326	0.0018	1.8878	0	0	0.000024	0.000020	0.000556	0.000099	0	0	0.000748	0.000114	0.007442	0.000371	0	0	0	0	0	0	0	0	0	0	0.000115	0.000045	0.000196	0.000058	0	0	0	0	0	0	0.000021	0.000020	0	0	0	0	0.231704	0.001844	0	0	0.111992	0.001373	0.000121	0.000044	0	0	0	0	0.000318	0.000076	0.470962	0.002188	0	0	0.000635	0.000102	0	0	0.001209	0.000149	0	0	0.173956	0.001658	
0.6000	0.2039	0.0018	1.9716	0	0	0.000057	0.000033	0.000745	0.000119	0	0	0.001350	0.000153	0.009734	0.000425	0	0	0	0	0	0	0	0	0	0	0.000112	0.000046	0.000286	0.000072	0	0	0	0	0	0	0.000047	0.000029	0	0	0	0	0.243543	0.001883	0	0	0.134462	0.001494	0.000225	0.000063	0	0	0	0	0.000527	0.000099	0.435567	0.002180	0	0	0.001145	0.000144	0	0	0.001913	0.000185	0	0	0.170284	0.001649	
0.7000	0.1842	0.0017	2.0425	0	0	0.000049	0.000029	0.001034	0.000138	0	0	0.002053	0.000194	0.012184	0.000473	0	0	0	0	0	0	0	0	0.000001	0.000001	0.000140	0.000048	0.000523	0.000096	0	0	0	0	0	0	0.000134	0.000050	0	0	0	0	0.252355	0.001907	0	0	0.153982	0.001582	0.000428	0.000087	0	0	0	0	0.000785	0.000119	0.407044	0.002163	0	0	0.001632	0.000175	0	0	0.003017	0.000233	0	0	0.164638	0.001628	
0.8000	0.1700	0.0017	2.0994	0	0	0.000057	0.000031	0.001541	0.000168	0	0	0.002350	0.000208	0.014996	0.000529	0	0	0	0	0	0	0	0	0.000033	0.000022	0.000219	0.000064	0.000820	0.000122	0	0	0	0	0	0	0.000171	0.000056	0	0	0	0	0.258902	0.001925	0	0	0.171616	0.001656	0.000717	0.000116	0	0	0	0	0.001220	0.000150	0.384152	0.002142	0	0	0.001911	0.000188	0	0	0.003930	0.000270	0	0	0.157365	0.001598	
0.9000	0.1574	0.0016	2.1448	0	0	0.000120	0.000046	0.002032	0.000194	0	0	0.002803	0.000228	0.016543	0.000556	0	0	0	0	0	0	0	0	0.000089	0.000040	0.000307	0.000074	0.001034	0.000137	0	0	0	0	0	0	0.000193	0.000061	0	0	0	0	0.263891	0.001939	0	0	0.187526	0.001719	0.001084	0.000143	0	0	0	0	0.001729	0.000178	0.366066	0.002124	0	0	0.002314	0.000207	0	0	0.005119	0.000308	0	0	0.149150	0.001565	
1.0000	0.1482	0.0016	2.1854	0	0	0.000149	0.000051	0.002747	0.000226	0	0	0.003130	0.000240	0.018336	0.000587	0	0	0	0	0	0	0	0	0.000101	0.000043	0.000342	0.000081	0.001366	0.000161	0.000017	0.000017	0.000022	0.000016	0	0	0.000205	0.000063	0	0	0	0	0.268205	0.001952	0	0	0.200167	0.001765	0.001546	0.000171	0	0	0	0	0.002474	0.000215	0.351137	0.002107	0	0	0.002703	0.000225	0	0	0.006179	0.000341	0	0	0.141173	0.001531	
1.1000	0.1393	0.0016	2.2199	0	0	0.000195	0.000060	0.003539	0.000260	0	0	0.003659	0.000260	0.020001	0.000612	0	0	0	0	0	0	0.000028	0.000018	0.000120	0.000049	0.000311	0.000077	0.001825	0.000184	0.000020	0.000020	0.000060	0.000035	0	0	0.000276	0.000072	0	0	0	0	0.270404	0.001957	0	0	0.211293	0.001802	0.002084	0.000199	0	0	0	0	0.002817	0.000232	0.340260	0.002091	0	0	0.003015	0.000236	0	0	0.007308	0.000371	0	0	0.132784	0.001493	
