Time	TH	ErrTH	H	Prob[EMT--Invasion--Apoptosis--CCA]	ErrProb[EMT--Invasion--Apoptosis--CCA]	Prob[Migration--Metastasis--EMT--Invasion--Apoptosis--CCA]	ErrProb[Migration--Metastasis--EMT--Invasion--Apoptosis--CCA]	Prob[Migration--Metastasis--EMT--Invasion--CCA]	ErrProb[Migration--Metastasis--EMT--Invasion--CCA]	Prob[Apoptosis--CCA]	ErrProb[Apoptosis--CCA]	Prob[Metastasis--EMT--Invasion]	ErrProb[Metastasis--EMT--Invasion]	Prob[Invasion]	ErrProb[Invasion]	Prob[EMT--CCA]	ErrProb[EMT--CCA]	Prob[Migration--EMT--Invasion--Apoptosis--CCA]	ErrProb[Migration--EMT--Invasion--Apoptosis--CCA]	Prob[Migration--EMT--CCA]	ErrProb[Migration--EMT--CCA]	Prob[Migration--Metastasis--EMT--CCA]	ErrProb[Migration--Metastasis--EMT--CCA]	Prob[Metastasis--EMT--CCA]	ErrProb[Metastasis--EMT--CCA]	Prob[EMT--Apoptosis--CCA]	ErrProb[EMT--Apoptosis--CCA]	Prob[Migration--Metastasis--EMT--Invasion]	ErrProb[Migration--Metastasis--EMT--Invasion]	Prob[Migration--EMT--Invasion--CCA]	ErrProb[Migration--EMT--Invasion--CCA]	Prob[EMT--Invasion--CCA]	ErrProb[EMT--Invasion--CCA]	Prob[Migration--EMT--Invasion]	ErrProb[Migration--EMT--Invasion]	Prob[Apoptosis]	ErrProb[Apoptosis]	Prob[CCA]	ErrProb[CCA]	Prob[<nil>]	ErrProb[<nil>]	Prob[EMT]	ErrProb[EMT]	Prob[Invasion--CCA]	ErrProb[Invasion--CCA]	Prob[Migration--EMT--Invasion--Apoptosis]	ErrProb[Migration--EMT--Invasion--Apoptosis]	Prob[Invasion--Apoptosis]	ErrProb[Invasion--Apoptosis]	Prob[EMT--Invasion]	ErrProb[EMT--Invasion]	Prob[Invasion--Apoptosis--CCA]	ErrProb[Invasion--Apoptosis--CCA]	Prob[EMT--Apoptosis]	ErrProb[EMT--Apoptosis]	Prob[EMT--Invasion--Apoptosis]	ErrProb[EMT--Invasion--Apoptosis]	
0.0000	0.0740	0.0011	2.4744	0.000247	0.000071	0.000035	0.000021	0.053546	0.002046	0.370979	0.005145	0.000026	0.000023	0.009160	0.000546	0.021523	0.001395	0.000135	0.000054	0.000171	0.000053	0.000460	0.000142	0.000306	0.000106	0.000230	0.000066	0.000467	0.000129	0.015409	0.000677	0.020489	0.000891	0.000732	0.000121	0.038880	0.001072	0.141926	0.002493	0.297493	0.004710	0.004024	0.000359	0.015814	0.000841	0.000000	0.000000	0.000871	0.000132	0.004475	0.000427	0.002303	0.000351	0.000149	0.000056	0.000150	0.000058	
10.0000	0.0063	0.0005	1.9046	0.000150	0.000069	0.000091	0.000054	0.208100	0.005469	0.484062	0.007012	0	0	0.000977	0.000164	0.030840	0.002380	0.000053	0.000036	0.000007	0.000005	0.000033	0.000022	0.000035	0.000023	0.000034	0.000020	0.000257	0.000127	0.008769	0.000569	0.008417	0.000581	0.000368	0.000112	0.001680	0.000258	0.009873	0.000784	0.239125	0.005909	0.000323	0.000074	0.006179	0.000545	0	0	0.000037	0.000024	0.000441	0.000090	0.000142	0.000046	0.000009	0.000007	0.000001	0.000001	
20.0000	0.0011	0.0002	1.7212	0.000001	0.000001	0	0	0.253266	0.006107	0.480085	0.007051	0	0	0.000238	0.000072	0.029493	0.002384	0	0	0	0	0	0	0	0	0.000002	0.000002	0.000030	0.000030	0.001866	0.000296	0.001704	0.000276	0.000058	0.000041	0.000550	0.000154	0.002276	0.000402	0.229386	0.005918	0.000005	0.000005	0.000869	0.000195	0	0	0.000007	0.000007	0.000117	0.000065	0.000046	0.000028	0	0	0.000002	0.000002	
30.0000	0.0002	0.0001	1.6700	0	0	0	0	0.263061	0.006216	0.478809	0.007063	0	0	0.000087	0.000068	0.029276	0.002381	0	0	0	0	0	0	0	0	0	0	0.000008	0.000008	0.000266	0.000091	0.000325	0.000113	0.000004	0.000003	0.000033	0.000023	0.000646	0.000230	0.227171	0.005918	0.000033	0.000021	0.000241	0.000104	0	0	0	0	0.000041	0.000030	0	0	0	0	0	0	
40.0000	0.0001	0.0001	1.6590	0	0	0	0	0.264951	0.006240	0.478723	0.007064	0	0	0.000061	0.000061	0.029230	0.002381	0	0	0	0	0	0	0	0	0	0	0.000003	0.000003	0.000095	0.000064	0.000051	0.000031	0.000015	0.000015	0.000033	0.000023	0.000174	0.000105	0.226468	0.005917	0	0	0.000177	0.000140	0	0	0	0	0.000019	0.000019	0	0	0	0	0	0	
50.0000	0.0000	0.0000	1.6544	0	0	0	0	0.265600	0.006247	0.478600	0.007065	0	0	0.000010	0.000010	0.029200	0.002381	0	0	0	0	0	0	0	0	0	0	0	0	0.000051	0.000051	0.000052	0.000038	0	0	0	0	0.000113	0.000082	0.226346	0.005917	0	0	0.000027	0.000026	0	0	0	0	0	0	0	0	0	0	0	0	
60.0000	0.0000	0.0000	1.6515	0	0	0	0	0.265958	0.006249	0.478600	0.007065	0	0	0	0	0.029200	0.002381	0	0	0	0	0	0	0	0	0	0	0	0	0.000026	0.000019	0.000016	0.000016	0	0	0	0	0	0	0.226200	0.005917	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
70.0000	0.0000	0.0000	1.6509	0	0	0	0	0.266000	0.006250	0.478600	0.007065	0	0	0	0	0.029200	0.002381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.226200	0.005917	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
80.0000	0.0000	0.0000	1.6509	0	0	0	0	0.266000	0.006250	0.478600	0.007065	0	0	0	0	0.029200	0.002381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.226200	0.005917	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
90.0000	0.0000	0.0000	1.6509	0	0	0	0	0.266000	0.006250	0.478600	0.007065	0	0	0	0	0.029200	0.002381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.226200	0.005917	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
