Time	TH	ErrTH	H	Prob[Migration--Metastasis--EMT--Apoptosis--CCA]	ErrProb[Migration--Metastasis--EMT--Apoptosis--CCA]	Prob[Migration--Metastasis--Invasion--CCA]	ErrProb[Migration--Metastasis--Invasion--CCA]	Prob[Migration--EMT]	ErrProb[Migration--EMT]	Prob[<nil>]	ErrProb[<nil>]	Prob[Metastasis--Invasion--Apoptosis]	ErrProb[Metastasis--Invasion--Apoptosis]	Prob[Migration--Apoptosis]	ErrProb[Migration--Apoptosis]	Prob[Metastasis--Apoptosis]	ErrProb[Metastasis--Apoptosis]	Prob[Migration--Metastasis--EMT--CCA]	ErrProb[Migration--Metastasis--EMT--CCA]	Prob[Metastasis--EMT--Invasion]	ErrProb[Metastasis--EMT--Invasion]	Prob[Apoptosis--CCA]	ErrProb[Apoptosis--CCA]	Prob[Migration--CCA]	ErrProb[Migration--CCA]	Prob[EMT--CCA]	ErrProb[EMT--CCA]	Prob[Metastasis--Invasion--Apoptosis--CCA]	ErrProb[Metastasis--Invasion--Apoptosis--CCA]	Prob[Migration--EMT--Apoptosis]	ErrProb[Migration--EMT--Apoptosis]	Prob[Migration--Metastasis]	ErrProb[Migration--Metastasis]	Prob[Migration--Metastasis--Invasion]	ErrProb[Migration--Metastasis--Invasion]	Prob[Migration--EMT--CCA]	ErrProb[Migration--EMT--CCA]	Prob[Migration--Metastasis--Apoptosis]	ErrProb[Migration--Metastasis--Apoptosis]	Prob[Migration--Apoptosis--CCA]	ErrProb[Migration--Apoptosis--CCA]	Prob[Migration--Metastasis--EMT--Invasion--Apoptosis--CCA]	ErrProb[Migration--Metastasis--EMT--Invasion--Apoptosis--CCA]	Prob[Metastasis--EMT--CCA]	ErrProb[Metastasis--EMT--CCA]	Prob[Migration--Metastasis--EMT--Invasion--Apoptosis]	ErrProb[Migration--Metastasis--EMT--Invasion--Apoptosis]	Prob[EMT--Invasion--Apoptosis--CCA]	ErrProb[EMT--Invasion--Apoptosis--CCA]	Prob[Migration--EMT--Invasion--CCA]	ErrProb[Migration--EMT--Invasion--CCA]	Prob[EMT--Apoptosis]	ErrProb[EMT--Apoptosis]	Prob[Migration--Metastasis--Invasion--Apoptosis--CCA]	ErrProb[Migration--Metastasis--Invasion--Apoptosis--CCA]	Prob[Invasion--CCA]	ErrProb[Invasion--CCA]	Prob[Metastasis--EMT]	ErrProb[Metastasis--EMT]	Prob[Metastasis--EMT--Apoptosis--CCA]	ErrProb[Metastasis--EMT--Apoptosis--CCA]	Prob[Migration--Metastasis--EMT]	ErrProb[Migration--Metastasis--EMT]	Prob[EMT--Invasion--Apoptosis]	ErrProb[EMT--Invasion--Apoptosis]	Prob[Invasion--Apoptosis--CCA]	ErrProb[Invasion--Apoptosis--CCA]	Prob[Migration--Invasion--Apoptosis]	ErrProb[Migration--Invasion--Apoptosis]	Prob[Migration--Invasion--Apoptosis--CCA]	ErrProb[Migration--Invasion--Apoptosis--CCA]	Prob[Metastasis--Invasion--CCA]	ErrProb[Metastasis--Invasion--CCA]	Prob[Invasion]	ErrProb[Invasion]	Prob[Migration]	ErrProb[Migration]	Prob[Migration--Metastasis--Apoptosis--CCA]	ErrProb[Migration--Metastasis--Apoptosis--CCA]	Prob[Metastasis--Invasion]	ErrProb[Metastasis--Invasion]	Prob[Apoptosis]	ErrProb[Apoptosis]	Prob[Metastasis--EMT--Invasion--CCA]	ErrProb[Metastasis--EMT--Invasion--CCA]	Prob[Migration--Metastasis--EMT--Invasion--CCA]	ErrProb[Migration--Metastasis--EMT--Invasion--CCA]	Prob[Migration--Metastasis--EMT--Apoptosis]	ErrProb[Migration--Metastasis--EMT--Apoptosis]	Prob[EMT--Apoptosis--CCA]	ErrProb[EMT--Apoptosis--CCA]	Prob[Migration--EMT--Apoptosis--CCA]	ErrProb[Migration--EMT--Apoptosis--CCA]	Prob[Migration--Invasion--CCA]	ErrProb[Migration--Invasion--CCA]	Prob[Metastasis--CCA]	ErrProb[Metastasis--CCA]	Prob[Migration--Metastasis--CCA]	ErrProb[Migration--Metastasis--CCA]	Prob[Metastasis]	ErrProb[Metastasis]	Prob[CCA]	ErrProb[CCA]	Prob[Migration--EMT--Invasion--Apoptosis--CCA]	ErrProb[Migration--EMT--Invasion--Apoptosis--CCA]	Prob[Migration--Invasion]	ErrProb[Migration--Invasion]	Prob[Migration--Metastasis--Invasion--Apoptosis]	ErrProb[Migration--Metastasis--Invasion--Apoptosis]	Prob[Migration--EMT--Invasion--Apoptosis]	ErrProb[Migration--EMT--Invasion--Apoptosis]	Prob[Metastasis--Apoptosis--CCA]	ErrProb[Metastasis--Apoptosis--CCA]	Prob[Metastasis--EMT--Invasion--Apoptosis--CCA]	ErrProb[Metastasis--EMT--Invasion--Apoptosis--CCA]	Prob[Metastasis--EMT--Apoptosis]	ErrProb[Metastasis--EMT--Apoptosis]	Prob[Migration--Metastasis--EMT--Invasion]	ErrProb[Migration--Metastasis--EMT--Invasion]	Prob[Invasion--Apoptosis]	ErrProb[Invasion--Apoptosis]	Prob[Migration--EMT--Invasion]	ErrProb[Migration--EMT--Invasion]	Prob[EMT--Invasion--CCA]	ErrProb[EMT--Invasion--CCA]	Prob[EMT]	ErrProb[EMT]	Prob[Metastasis--EMT--Invasion--Apoptosis]	ErrProb[Metastasis--EMT--Invasion--Apoptosis]	Prob[EMT--Invasion]	ErrProb[EMT--Invasion]	
0.0000	1.4565	0.0030	5.9999	0.015620	0.000555	0.015620	0.000555	0.015620	0.000555	0.015380	0.000550	0.015580	0.000554	0.015760	0.000557	0.015940	0.000560	0.015920	0.000560	0.015820	0.000558	0.015480	0.000552	0.015840	0.000558	0.015560	0.000554	0.015680	0.000556	0.015900	0.000559	0.015600	0.000554	0.015520	0.000553	0.015500	0.000552	0.015880	0.000559	0.015620	0.000555	0.015680	0.000556	0.015700	0.000556	0.015500	0.000552	0.015740	0.000557	0.015420	0.000551	0.015800	0.000558	0.015880	0.000559	0.015440	0.000551	0.015420	0.000551	0.015560	0.000554	0.015720	0.000556	0.015320	0.000549	0.015720	0.000556	0.015640	0.000555	0.015540	0.000553	0.015480	0.000552	0.015640	0.000555	0.015160	0.000546	0.015280	0.000549	0.015580	0.000554	0.015720	0.000556	0.015420	0.000551	0.015380	0.000550	0.015540	0.000553	0.015600	0.000554	0.015520	0.000553	0.015640	0.000555	0.015900	0.000559	0.015580	0.000554	0.015600	0.000554	0.015860	0.000559	0.015820	0.000558	0.015840	0.000558	0.015580	0.000554	0.015140	0.000546	0.015400	0.000551	0.015940	0.000560	0.015360	0.000550	0.015800	0.000558	0.015640	0.000555	0.015960	0.000560	0.015640	0.000555	0.015640	0.000555	0.015660	0.000555	0.015760	0.000557	
0.1000	1.2811	0.0032	5.9735	0.013080	0.000508	0.017400	0.000585	0.012620	0.000499	0.021960	0.000655	0.014620	0.000537	0.011380	0.000474	0.015620	0.000555	0.015720	0.000556	0.016920	0.000577	0.018480	0.000602	0.014360	0.000532	0.019160	0.000613	0.016020	0.000561	0.010220	0.000450	0.018080	0.000596	0.017440	0.000585	0.011620	0.000479	0.014320	0.000531	0.011240	0.000471	0.014000	0.000525	0.015740	0.000557	0.013480	0.000516	0.017060	0.000579	0.012700	0.000501	0.017340	0.000584	0.015220	0.000548	0.022180	0.000659	0.015920	0.000560	0.013220	0.000511	0.015820	0.000558	0.016600	0.000571	0.018740	0.000606	0.012220	0.000491	0.012660	0.000500	0.017940	0.000594	0.022680	0.000666	0.013600	0.000518	0.014040	0.000526	0.018160	0.000597	0.017900	0.000593	0.016100	0.000563	0.015740	0.000557	0.013280	0.000512	0.015160	0.000546	0.009760	0.000440	0.013920	0.000524	0.017340	0.000584	0.016540	0.000570	0.017980	0.000594	0.021360	0.000647	0.010300	0.000452	0.015300	0.000549	0.016100	0.000563	0.010740	0.000461	0.014020	0.000526	0.014000	0.000525	0.012560	0.000498	0.016900	0.000576	0.018820	0.000608	0.013780	0.000521	0.019520	0.000619	0.019640	0.000621	0.013720	0.000520	0.019940	0.000625	
0.2000	1.1164	0.0033	5.9015	0.010640	0.000459	0.018860	0.000608	0.010080	0.000447	0.029540	0.000757	0.013960	0.000525	0.008220	0.000404	0.014060	0.000527	0.013980	0.000525	0.017500	0.000586	0.021260	0.000645	0.011800	0.000483	0.022420	0.000662	0.015160	0.000546	0.006520	0.000360	0.019580	0.000620	0.019920	0.000625	0.009060	0.000424	0.012780	0.000502	0.008000	0.000398	0.011720	0.000481	0.015520	0.000553	0.010880	0.000464	0.016240	0.000565	0.010360	0.000453	0.015980	0.000561	0.013900	0.000524	0.028040	0.000738	0.016540	0.000570	0.011940	0.000486	0.015440	0.000551	0.017820	0.000592	0.021780	0.000653	0.009220	0.000427	0.009140	0.000426	0.020260	0.000630	0.031520	0.000781	0.011820	0.000483	0.013160	0.000510	0.020040	0.000627	0.021280	0.000645	0.016880	0.000576	0.016140	0.000564	0.011200	0.000471	0.015240	0.000548	0.006020	0.000346	0.012380	0.000495	0.019140	0.000613	0.018020	0.000595	0.020540	0.000634	0.029300	0.000754	0.007200	0.000378	0.012920	0.000505	0.014580	0.000536	0.006640	0.000363	0.013480	0.000516	0.011400	0.000475	0.010620	0.000458	0.017280	0.000583	0.020120	0.000628	0.010860	0.000464	0.024260	0.000688	0.023160	0.000673	0.012060	0.000488	0.024620	0.000693	
0.3000	0.9662	0.0033	5.7928	0.008020	0.000399	0.019180	0.000613	0.007920	0.000396	0.038940	0.000865	0.013400	0.000514	0.006380	0.000356	0.012360	0.000494	0.012720	0.000501	0.017000	0.000578	0.024660	0.000694	0.008960	0.000421	0.026580	0.000719	0.014400	0.000533	0.003720	0.000272	0.020480	0.000633	0.021260	0.000645	0.006700	0.000365	0.011620	0.000479	0.005640	0.000335	0.009520	0.000434	0.015540	0.000553	0.008580	0.000412	0.016220	0.000565	0.008380	0.000408	0.014240	0.000530	0.012400	0.000495	0.036940	0.000844	0.016820	0.000575	0.009980	0.000445	0.014520	0.000535	0.016600	0.000571	0.023580	0.000679	0.006300	0.000354	0.007000	0.000373	0.020780	0.000638	0.039600	0.000872	0.010000	0.000445	0.012640	0.000500	0.021100	0.000643	0.022240	0.000659	0.018260	0.000599	0.015460	0.000552	0.008280	0.000405	0.015340	0.000550	0.003840	0.000277	0.009720	0.000439	0.020920	0.000640	0.018680	0.000605	0.024000	0.000684	0.037560	0.000850	0.004860	0.000311	0.011080	0.000468	0.011420	0.000475	0.004260	0.000291	0.013020	0.000507	0.010140	0.000448	0.009480	0.000433	0.015880	0.000559	0.021240	0.000645	0.009000	0.000422	0.028660	0.000746	0.027220	0.000728	0.009480	0.000433	0.029280	0.000754	
0.4000	0.8310	0.0033	5.6521	0.006080	0.000348	0.018180	0.000597	0.005560	0.000333	0.051760	0.000991	0.011320	0.000473	0.004320	0.000293	0.011560	0.000478	0.012560	0.000498	0.016580	0.000571	0.029620	0.000758	0.007040	0.000374	0.031760	0.000784	0.012860	0.000504	0.001900	0.000195	0.020760	0.000638	0.020380	0.000632	0.004820	0.000310	0.010340	0.000452	0.004340	0.000294	0.007600	0.000388	0.015340	0.000550	0.006440	0.000358	0.015040	0.000544	0.007740	0.000392	0.013020	0.000507	0.010500	0.000456	0.044780	0.000925	0.015720	0.000556	0.008360	0.000407	0.013240	0.000511	0.014700	0.000538	0.025300	0.000702	0.003940	0.000280	0.004680	0.000305	0.022020	0.000656	0.045840	0.000935	0.008020	0.000399	0.010680	0.000460	0.022820	0.000668	0.022620	0.000665	0.016700	0.000573	0.015580	0.000554	0.005860	0.000341	0.014340	0.000532	0.002540	0.000225	0.007960	0.000397	0.021900	0.000655	0.019160	0.000613	0.025540	0.000706	0.047300	0.000949	0.003240	0.000254	0.008040	0.000399	0.009180	0.000427	0.003000	0.000245	0.014220	0.000529	0.008500	0.000411	0.007840	0.000394	0.014960	0.000543	0.020920	0.000640	0.006420	0.000357	0.034740	0.000819	0.030900	0.000774	0.007600	0.000388	0.033420	0.000804	
0.5000	0.7159	0.0032	5.4888	0.004660	0.000305	0.016800	0.000575	0.003680	0.000271	0.065440	0.001106	0.009460	0.000433	0.002840	0.000238	0.010400	0.000454	0.011820	0.000483	0.015760	0.000557	0.038020	0.000855	0.005580	0.000333	0.038280	0.000858	0.011040	0.000467	0.001180	0.000154	0.020140	0.000628	0.018100	0.000596	0.003900	0.000279	0.008120	0.000401	0.003080	0.000248	0.006060	0.000347	0.014660	0.000538	0.004720	0.000307	0.013580	0.000518	0.007420	0.000384	0.011280	0.000472	0.008620	0.000413	0.050660	0.000981	0.015220	0.000548	0.006940	0.000371	0.011800	0.000483	0.011880	0.000485	0.026860	0.000723	0.002540	0.000225	0.002940	0.000242	0.022180	0.000659	0.049940	0.000974	0.005800	0.000340	0.009760	0.000440	0.022640	0.000665	0.023840	0.000682	0.016140	0.000564	0.017100	0.000580	0.003480	0.000263	0.013220	0.000511	0.001460	0.000171	0.005560	0.000333	0.023780	0.000681	0.017840	0.000592	0.027320	0.000729	0.058880	0.001053	0.002320	0.000215	0.005800	0.000340	0.007200	0.000378	0.001940	0.000197	0.014120	0.000528	0.006740	0.000366	0.006480	0.000359	0.013040	0.000507	0.019300	0.000615	0.005060	0.000317	0.039340	0.000869	0.033400	0.000804	0.005840	0.000341	0.037000	0.000844	
0.6000	0.6183	0.0031	5.3064	0.003700	0.000272	0.014280	0.000531	0.002460	0.000222	0.080140	0.001214	0.007520	0.000386	0.001720	0.000185	0.009320	0.000430	0.010620	0.000458	0.014820	0.000540	0.049660	0.000972	0.003920	0.000279	0.046800	0.000945	0.009160	0.000426	0.000640	0.000113	0.018240	0.000598	0.015300	0.000549	0.002920	0.000241	0.006880	0.000370	0.002100	0.000205	0.004500	0.000299	0.014940	0.000543	0.003420	0.000261	0.012280	0.000493	0.008800	0.000418	0.009440	0.000432	0.006920	0.000371	0.055240	0.001022	0.014340	0.000532	0.005680	0.000336	0.008920	0.000420	0.009620	0.000437	0.025020	0.000698	0.001620	0.000180	0.001880	0.000194	0.020780	0.000638	0.051860	0.000992	0.004620	0.000303	0.008660	0.000414	0.020560	0.000635	0.023480	0.000677	0.015200	0.000547	0.018620	0.000605	0.002220	0.000210	0.012160	0.000490	0.000980	0.000140	0.003840	0.000277	0.025660	0.000707	0.016240	0.000565	0.028040	0.000738	0.073740	0.001169	0.001660	0.000182	0.004180	0.000289	0.005160	0.000320	0.001120	0.000150	0.013720	0.000520	0.005640	0.000335	0.004440	0.000297	0.011020	0.000467	0.017080	0.000579	0.004160	0.000288	0.043420	0.000911	0.034580	0.000817	0.004700	0.000306	0.039640	0.000873	
0.7000	0.5331	0.0030	5.1203	0.002400	0.000219	0.012060	0.000488	0.001280	0.000160	0.092840	0.001298	0.005820	0.000340	0.001160	0.000152	0.008380	0.000408	0.009780	0.000440	0.013140	0.000509	0.063500	0.001091	0.002860	0.000239	0.057560	0.001042	0.008320	0.000406	0.000320	0.000080	0.015720	0.000556	0.012040	0.000488	0.001960	0.000198	0.004960	0.000314	0.001640	0.000181	0.002920	0.000241	0.014940	0.000543	0.002200	0.000210	0.010860	0.000464	0.011520	0.000477	0.008180	0.000403	0.004620	0.000303	0.054560	0.001016	0.011720	0.000481	0.004600	0.000303	0.007380	0.000383	0.007860	0.000395	0.024200	0.000687	0.001120	0.000150	0.001240	0.000157	0.019220	0.000614	0.052280	0.000995	0.003020	0.000245	0.007540	0.000387	0.018660	0.000605	0.023840	0.000682	0.014160	0.000528	0.022500	0.000663	0.001840	0.000192	0.011280	0.000472	0.000740	0.000122	0.002560	0.000226	0.025400	0.000704	0.014180	0.000529	0.028020	0.000738	0.087860	0.001266	0.001180	0.000154	0.003120	0.000249	0.003720	0.000272	0.000900	0.000134	0.013820	0.000522	0.004240	0.000291	0.003100	0.000249	0.009820	0.000441	0.014100	0.000527	0.003520	0.000265	0.046520	0.000942	0.035160	0.000824	0.003260	0.000255	0.040780	0.000885	
0.8000	0.4538	0.0028	4.9126	0.001600	0.000179	0.009140	0.000426	0.001040	0.000144	0.106200	0.001378	0.004060	0.000284	0.000660	0.000115	0.007220	0.000379	0.008800	0.000418	0.010740	0.000461	0.082120	0.001228	0.001720	0.000185	0.069980	0.001141	0.006660	0.000364	0.000200	0.000063	0.013380	0.000514	0.009140	0.000426	0.001960	0.000198	0.003640	0.000269	0.000980	0.000140	0.002120	0.000206	0.014220	0.000529	0.001300	0.000161	0.009260	0.000428	0.014880	0.000541	0.006380	0.000356	0.003560	0.000266	0.053520	0.001007	0.010700	0.000460	0.003500	0.000264	0.005640	0.000335	0.006220	0.000352	0.022020	0.000656	0.000560	0.000106	0.000720	0.000120	0.017220	0.000582	0.050000	0.000975	0.002020	0.000201	0.006120	0.000349	0.015400	0.000551	0.022240	0.000659	0.012780	0.000502	0.029260	0.000754	0.001380	0.000166	0.010260	0.000451	0.000460	0.000096	0.001760	0.000187	0.024120	0.000686	0.012480	0.000496	0.026340	0.000716	0.100480	0.001345	0.000960	0.000138	0.001720	0.000185	0.002600	0.000228	0.000580	0.000108	0.012480	0.000496	0.002560	0.000226	0.002340	0.000216	0.008340	0.000407	0.012320	0.000493	0.003500	0.000264	0.049600	0.000971	0.034380	0.000815	0.002140	0.000207	0.040320	0.000880	
0.9000	0.3833	0.0026	4.6972	0.001300	0.000161	0.006940	0.000371	0.000900	0.000134	0.118420	0.001445	0.002360	0.000217	0.000460	0.000096	0.005980	0.000345	0.007880	0.000395	0.008760	0.000417	0.105140	0.001372	0.001300	0.000161	0.084420	0.001243	0.005020	0.000316	0.000120	0.000049	0.010400	0.000454	0.006740	0.000366	0.001800	0.000190	0.003020	0.000245	0.000620	0.000111	0.001540	0.000175	0.013340	0.000513	0.000980	0.000140	0.007120	0.000376	0.018080	0.000596	0.005160	0.000320	0.002340	0.000216	0.050460	0.000979	0.008620	0.000413	0.002360	0.000217	0.004540	0.000301	0.004640	0.000304	0.019540	0.000619	0.000240	0.000069	0.000420	0.000092	0.014240	0.000530	0.046080	0.000938	0.001300	0.000161	0.005080	0.000318	0.011820	0.000483	0.022880	0.000669	0.011060	0.000468	0.040200	0.000878	0.000660	0.000115	0.008240	0.000404	0.000320	0.000080	0.001040	0.000144	0.021200	0.000644	0.010380	0.000453	0.023960	0.000684	0.106440	0.001379	0.001100	0.000148	0.000980	0.000140	0.001960	0.000198	0.000300	0.000077	0.011740	0.000482	0.001900	0.000195	0.001560	0.000176	0.007120	0.000376	0.009300	0.000429	0.003100	0.000249	0.051980	0.000993	0.033600	0.000806	0.001480	0.000172	0.038020	0.000855	
